BookingID,Order ID,MenuID, Cost,Sales,Quantity
255,Order_M38_BID_255,M38,190,285,3
256,Order_M38_BID_256,M38,52.08,78.12,3
257,Order_M38_BID_257,M38,310,465,3
258,Order_M38_BID_258,M38,91.84,137.76,3
259,Order_M38_BID_259,M38,320,480,3
260,Order_M38_BID_260,M38,93.13,139.7,3
261,Order_M38_BID_261,M38,75,112.5,3
262,Order_M38_BID_262,M38,144.09,216.14,3
263,Order_M38_BID_263,M38,125,187.5,3
264,Order_M38_BID_264,M38,168.27,252.41,3
265,Order_M38_BID_265,M38,69.38,104.07,3
266,Order_M38_BID_266,M38,190,285,3
267,Order_M38_BID_267,M38,52.08,78.12,3
268,Order_M38_BID_268,M38,310,465,3
269,Order_M38_BID_269,M38,91.84,137.76,3
270,Order_M38_BID_270,M38,320,480,3
271,Order_M38_BID_271,M38,93.13,139.7,3
272,Order_M38_BID_272,M38,75,112.5,3
273,Order_M38_BID_273,M38,144.09,216.14,3
274,Order_M14_BID_274,M14,52.08,78.12,2
275,Order_M14_BID_275,M14,310,465,2
276,Order_M14_BID_276,M14,91.84,137.76,2
277,Order_M14_BID_277,M14,320,480,2
278,Order_M14_BID_278,M14,93.13,139.7,2
279,Order_M14_BID_279,M14,75,112.5,2
280,Order_M14_BID_280,M14,144.09,216.14,2
281,Order_M14_BID_281,M14,125,187.5,2
282,Order_M14_BID_282,M14,168.27,252.41,2
283,Order_M14_BID_283,M14,69.38,104.07,2
284,Order_M14_BID_284,M14,190,285,2
285,Order_M14_BID_285,M14,52.08,78.12,2
286,Order_M14_BID_286,M14,310,465,2
287,Order_M14_BID_287,M14,91.84,137.76,2
288,Order_M14_BID_288,M14,320,480,2
289,Order_M14_BID_289,M14,93.13,139.7,2
290,Order_M14_BID_290,M14,75,112.5,2
291,Order_M14_BID_291,M14,144.09,216.14,2
292,Order_M14_BID_292,M14,125,187.5,2
293,Order_M14_BID_293,M14,168.27,252.41,2
294,Order_M14_BID_294,M14,69.38,104.07,2
295,Order_M6_BID_295,M6,320,480,2
296,Order_M6_BID_296,M6,93.13,139.7,2
297,Order_M6_BID_297,M6,75,112.5,2
298,Order_M6_BID_298,M6,144.09,216.14,2
299,Order_M6_BID_299,M6,125,187.5,2
300,Order_M6_BID_300,M6,168.27,252.41,2
301,Order_M6_BID_301,M6,69.38,104.07,2
302,Order_M6_BID_302,M6,190,285,2
303,Order_M6_BID_303,M6,52.08,78.12,2
304,Order_M6_BID_304,M6,310,465,2
305,Order_M6_BID_305,M6,91.84,137.76,2
306,Order_M6_BID_306,M6,320,480,2
307,Order_M6_BID_307,M6,93.13,139.7,2
308,Order_M6_BID_308,M6,75,112.5,2
309,Order_M6_BID_309,M6,144.09,216.14,2
310,Order_M6_BID_310,M6,125,187.5,2
311,Order_M6_BID_311,M6,168.27,252.41,2
312,Order_M6_BID_312,M6,69.38,104.07,2
313,Order_M6_BID_313,M6,190,285,2
314,Order_M6_BID_314,M6,52.08,78.12,2
315,Order_M6_BID_315,M6,310,465,2
316,Order_M27_BID_316,M27,210,315,1
317,Order_M27_BID_317,M27,44.57,66.86,1
318,Order_M27_BID_318,M27,220,330,1
319,Order_M27_BID_319,M27,101.6,152.4,1
320,Order_M27_BID_320,M27,235,352.5,1
321,Order_M27_BID_321,M27,124.62,186.93,1
322,Order_M27_BID_322,M27,119.8,179.7,1
323,Order_M27_BID_323,M27,98,147,1
324,Order_M27_BID_324,M27,83.99,125.99,1
325,Order_M27_BID_325,M27,225,337.5,1
326,Order_M27_BID_326,M27,133.17,199.76,1
327,Order_M27_BID_327,M27,210,315,1
328,Order_M27_BID_328,M27,44.57,66.86,1
329,Order_M27_BID_329,M27,220,330,1
330,Order_M27_BID_330,M27,101.6,152.4,1
331,Order_M27_BID_331,M27,235,352.5,1
332,Order_M27_BID_332,M27,124.62,186.93,1
333,Order_M27_BID_333,M27,119.8,179.7,1
334,Order_M27_BID_334,M27,98,147,1
335,Order_M27_BID_335,M27,83.99,125.99,1
336,Order_M27_BID_336,M27,225,337.5,1
337,Order_M60_BID_337,M60,133.17,199.76,3
338,Order_M10_BID_338,M10,168.27,252.41,2
339,Order_M60_BID_339,M60,210,315,3
340,Order_M10_BID_340,M10,69.38,104.07,2
341,Order_M60_BID_341,M60,44.57,66.86,3
342,Order_M10_BID_342,M10,190,285,2
343,Order_M60_BID_343,M60,220,330,3
344,Order_M10_BID_344,M10,52.08,78.12,2
345,Order_M60_BID_345,M60,101.6,152.4,3
346,Order_M10_BID_346,M10,310,465,2
347,Order_M60_BID_347,M60,235,352.5,3
348,Order_M10_BID_348,M10,91.84,137.76,2
349,Order_M60_BID_349,M60,124.62,186.93,3
350,Order_M10_BID_350,M10,320,480,2
351,Order_M60_BID_351,M60,119.8,179.7,3
352,Order_M10_BID_352,M10,93.13,139.7,2
353,Order_M60_BID_353,M60,98,147,3
354,Order_M10_BID_354,M10,75,112.5,2
355,Order_M60_BID_355,M60,83.99,125.99,3
356,Order_M10_BID_356,M10,144.09,216.14,2
357,Order_M60_BID_357,M60,225,337.5,3
358,Order_M10_BID_358,M10,125,187.5,2
359,Order_M60_BID_359,M60,133.17,199.76,3
360,Order_M10_BID_360,M10,168.27,252.41,2
361,Order_M60_BID_361,M60,210,315,3
362,Order_M10_BID_362,M10,69.38,104.07,2
363,Order_M60_BID_363,M60,44.57,66.86,3
364,Order_M10_BID_364,M10,190,285,2
365,Order_M60_BID_365,M60,220,330,3
366,Order_M10_BID_366,M10,52.08,78.12,2
367,Order_M60_BID_367,M60,101.6,152.4,3
368,Order_M10_BID_368,M10,310,465,2
369,Order_M60_BID_369,M60,235,352.5,3
370,Order_M10_BID_370,M10,91.84,137.76,2
371,Order_M60_BID_371,M60,124.62,186.93,3
372,Order_M10_BID_372,M10,320,480,2
373,Order_M60_BID_373,M60,119.8,179.7,3
374,Order_M10_BID_374,M10,93.13,139.7,2
375,Order_M60_BID_375,M60,98,147,3
376,Order_M10_BID_376,M10,75,112.5,2
377,Order_M60_BID_377,M60,83.99,125.99,3
378,Order_M10_BID_378,M10,144.09,216.14,2
379,Order_M37_BID_379,M37,168.27,252.41,3
380,Order_M24_BID_380,M24,83.99,125.99,1
381,Order_M37_BID_381,M37,75,112.5,3
382,Order_M24_BID_382,M24,225,337.5,1
383,Order_M37_BID_383,M37,144.09,216.14,3
384,Order_M24_BID_384,M24,133.17,199.76,1
385,Order_M37_BID_385,M37,125,187.5,3
386,Order_M24_BID_386,M24,210,315,1
387,Order_M37_BID_387,M37,168.27,252.41,3
388,Order_M24_BID_388,M24,44.57,66.86,1
389,Order_M37_BID_389,M37,69.38,104.07,3
390,Order_M24_BID_390,M24,220,330,1
391,Order_M37_BID_391,M37,190,285,3
392,Order_M24_BID_392,M24,101.6,152.4,1
393,Order_M37_BID_393,M37,52.08,78.12,3
394,Order_M24_BID_394,M24,235,352.5,1
395,Order_M37_BID_395,M37,310,465,3
396,Order_M24_BID_396,M24,124.62,186.93,1
397,Order_M37_BID_397,M37,91.84,137.76,3
398,Order_M24_BID_398,M24,119.8,179.7,1
399,Order_M37_BID_399,M37,320,480,3
400,Order_M24_BID_400,M24,98,147,1
401,Order_M37_BID_401,M37,93.13,139.7,3
402,Order_M24_BID_402,M24,83.99,125.99,1
403,Order_M37_BID_403,M37,75,112.5,3
404,Order_M24_BID_404,M24,225,337.5,1
405,Order_M37_BID_405,M37,144.09,216.14,3
406,Order_M24_BID_406,M24,133.17,199.76,1
407,Order_M37_BID_407,M37,125,187.5,3
408,Order_M24_BID_408,M24,210,315,1
409,Order_M37_BID_409,M37,168.27,252.41,3
410,Order_M24_BID_410,M24,44.57,66.86,1
411,Order_M37_BID_411,M37,69.38,104.07,3
412,Order_M24_BID_412,M24,220,330,1
413,Order_M37_BID_413,M37,190,285,3
414,Order_M24_BID_414,M24,101.6,152.4,1
415,Order_M37_BID_415,M37,52.08,78.12,3
416,Order_M24_BID_416,M24,235,352.5,1
417,Order_M37_BID_417,M37,310,465,3
418,Order_M24_BID_418,M24,124.62,186.93,1
419,Order_M37_BID_419,M37,91.84,137.76,3
420,Order_M24_BID_420,M24,119.8,179.7,1
421,Order_M31_BID_421,M31,69.38,104.07,2
422,Order_M14_BID_422,M14,93.13,139.7,2
423,Order_M31_BID_423,M31,190,285,2
424,Order_M14_BID_424,M14,75,112.5,2
425,Order_M31_BID_425,M31,52.08,78.12,2
426,Order_M14_BID_426,M14,144.09,216.14,2
427,Order_M31_BID_427,M31,310,465,2
428,Order_M14_BID_428,M14,125,187.5,2
429,Order_M31_BID_429,M31,91.84,137.76,2
430,Order_M14_BID_430,M14,168.27,252.41,2
431,Order_M31_BID_431,M31,320,480,2
432,Order_M14_BID_432,M14,69.38,104.07,2
433,Order_M31_BID_433,M31,93.13,139.7,2
434,Order_M14_BID_434,M14,190,285,2
435,Order_M31_BID_435,M31,75,112.5,2
436,Order_M14_BID_436,M14,52.08,78.12,2
437,Order_M31_BID_437,M31,144.09,216.14,2
438,Order_M14_BID_438,M14,310,465,2
439,Order_M31_BID_439,M31,125,187.5,2
440,Order_M14_BID_440,M14,91.84,137.76,2
441,Order_M31_BID_441,M31,168.27,252.41,2
442,Order_M14_BID_442,M14,320,480,2
443,Order_M31_BID_443,M31,69.38,104.07,2
444,Order_M14_BID_444,M14,93.13,139.7,2
445,Order_M31_BID_445,M31,190,285,2
446,Order_M14_BID_446,M14,75,112.5,2
447,Order_M31_BID_447,M31,52.08,78.12,2
448,Order_M14_BID_448,M14,144.09,216.14,2
449,Order_M31_BID_449,M31,310,465,2
450,Order_M14_BID_450,M14,125,187.5,2
451,Order_M31_BID_451,M31,91.84,137.76,2
452,Order_M14_BID_452,M14,168.27,252.41,2
453,Order_M31_BID_453,M31,320,480,2
454,Order_M14_BID_454,M14,69.38,104.07,2
455,Order_M31_BID_455,M31,93.13,139.7,2
456,Order_M14_BID_456,M14,190,285,2
457,Order_M31_BID_457,M31,75,112.5,2
458,Order_M14_BID_458,M14,52.08,78.12,2
459,Order_M31_BID_459,M31,144.09,216.14,2
460,Order_M14_BID_460,M14,310,465,2
461,Order_M31_BID_461,M31,125,187.5,2
462,Order_M14_BID_462,M14,91.84,137.76,2
463,Order_M46_BID_463,M46,190,285,2
464,Order_M46_BID_464,M46,52.08,78.12,2
465,Order_M46_BID_465,M46,310,465,2
466,Order_M46_BID_466,M46,91.84,137.76,2
467,Order_M46_BID_467,M46,320,480,2
468,Order_M46_BID_468,M46,93.13,139.7,2
469,Order_M46_BID_469,M46,75,112.5,2
470,Order_M46_BID_470,M46,144.09,216.14,2
471,Order_M46_BID_471,M46,125,187.5,2
472,Order_M46_BID_472,M46,168.27,252.41,2
473,Order_M46_BID_473,M46,69.38,104.07,2
474,Order_M46_BID_474,M46,190,285,2
475,Order_M46_BID_475,M46,52.08,78.12,2
476,Order_M46_BID_476,M46,310,465,2
477,Order_M46_BID_477,M46,91.84,137.76,2
478,Order_M46_BID_478,M46,320,480,2
479,Order_M46_BID_479,M46,93.13,139.7,2
480,Order_M46_BID_480,M46,75,112.5,2
481,Order_M46_BID_481,M46,144.09,216.14,2
482,Order_M46_BID_482,M46,125,187.5,2
483,Order_M46_BID_483,M46,168.27,252.41,2
484,Order_M28_BID_484,M28,235,352.5,1
485,Order_M28_BID_485,M28,124.62,186.93,1
486,Order_M28_BID_486,M28,119.8,179.7,1
487,Order_M28_BID_487,M28,98,147,1
488,Order_M28_BID_488,M28,83.99,125.99,1
489,Order_M28_BID_489,M28,225,337.5,1
490,Order_M28_BID_490,M28,133.17,199.76,1
491,Order_M28_BID_491,M28,210,315,1
492,Order_M28_BID_492,M28,44.57,66.86,1
493,Order_M28_BID_493,M28,220,330,1
494,Order_M28_BID_494,M28,101.6,152.4,1
495,Order_M28_BID_495,M28,235,352.5,1
496,Order_M28_BID_496,M28,124.62,186.93,1
497,Order_M28_BID_497,M28,119.8,179.7,1
498,Order_M28_BID_498,M28,98,147,1
499,Order_M28_BID_499,M28,83.99,125.99,1
500,Order_M28_BID_500,M28,225,337.5,1
501,Order_M28_BID_501,M28,133.17,199.76,1
502,Order_M28_BID_502,M28,210,315,1
503,Order_M28_BID_503,M28,44.57,66.86,1
504,Order_M28_BID_504,M28,220,330,1
505,Order_M29_BID_505,M29,235,352.5,1
506,Order_M29_BID_506,M29,124.62,186.93,1
507,Order_M29_BID_507,M29,119.8,179.7,1
508,Order_M29_BID_508,M29,98,147,1
509,Order_M29_BID_509,M29,83.99,125.99,1
510,Order_M29_BID_510,M29,225,337.5,1
511,Order_M29_BID_511,M29,133.17,199.76,1
512,Order_M29_BID_512,M29,210,315,1
513,Order_M29_BID_513,M29,44.57,66.86,1
514,Order_M29_BID_514,M29,220,330,1
515,Order_M29_BID_515,M29,101.6,152.4,1
516,Order_M29_BID_516,M29,235,352.5,1
517,Order_M29_BID_517,M29,124.62,186.93,1
518,Order_M29_BID_518,M29,119.8,179.7,1
519,Order_M29_BID_519,M29,98,147,1
520,Order_M29_BID_520,M29,83.99,125.99,1
521,Order_M29_BID_521,M29,225,337.5,1
522,Order_M29_BID_522,M29,133.17,199.76,1
523,Order_M29_BID_523,M29,210,315,1
524,Order_M29_BID_524,M29,44.57,66.86,1
525,Order_M29_BID_525,M29,220,330,1
526,Order_M50_BID_526,M50,124.62,186.93,1
527,Order_M50_BID_527,M50,119.8,179.7,1
528,Order_M50_BID_528,M50,98,147,1
529,Order_M50_BID_529,M50,83.99,125.99,1
530,Order_M50_BID_530,M50,225,337.5,1
531,Order_M50_BID_531,M50,133.17,199.76,1
532,Order_M50_BID_532,M50,210,315,1
533,Order_M50_BID_533,M50,44.57,66.86,1
534,Order_M50_BID_534,M50,220,330,1
535,Order_M50_BID_535,M50,101.6,152.4,1
536,Order_M50_BID_536,M50,235,352.5,1
537,Order_M50_BID_537,M50,124.62,186.93,1
538,Order_M50_BID_538,M50,119.8,179.7,1
539,Order_M50_BID_539,M50,98,147,1
540,Order_M50_BID_540,M50,83.99,125.99,1
541,Order_M50_BID_541,M50,225,337.5,1
542,Order_M50_BID_542,M50,133.17,199.76,1
543,Order_M50_BID_543,M50,210,315,1
544,Order_M50_BID_544,M50,44.57,66.86,1
545,Order_M50_BID_545,M50,220,330,1
546,Order_M50_BID_546,M50,101.6,152.4,1
547,Order_M26_BID_547,M26,220,330,1
548,Order_M26_BID_548,M26,101.6,152.4,1
549,Order_M26_BID_549,M26,235,352.5,1
550,Order_M26_BID_550,M26,124.62,186.93,1
551,Order_M26_BID_551,M26,119.8,179.7,1
552,Order_M26_BID_552,M26,98,147,1
553,Order_M26_BID_553,M26,83.99,125.99,1
554,Order_M26_BID_554,M26,225,337.5,1
555,Order_M26_BID_555,M26,133.17,199.76,1
556,Order_M26_BID_556,M26,210,315,1
557,Order_M26_BID_557,M26,44.57,66.86,1
558,Order_M26_BID_558,M26,220,330,1
559,Order_M26_BID_559,M26,101.6,152.4,1
560,Order_M26_BID_560,M26,235,352.5,1
561,Order_M26_BID_561,M26,124.62,186.93,1
562,Order_M26_BID_562,M26,119.8,179.7,1
563,Order_M26_BID_563,M26,98,147,1
564,Order_M26_BID_564,M26,83.99,125.99,1
565,Order_M26_BID_565,M26,225,337.5,1
566,Order_M26_BID_566,M26,133.17,199.76,1
567,Order_M26_BID_567,M26,210,315,1
568,Order_M47_BID_568,M47,190,285,2
